Date,Value
2000-01-31,284.31
2000-02-29,299.86
2000-03-31,286.39
2000-04-28,279.69
2000-04-30,279.69
2000-05-31,275.19
2000-06-30,285.73
2000-07-31,281.59
2000-08-31,274.47
2000-09-29,273.68
2000-09-30,273.68
2000-10-31,270.0
2000-11-30,266.01
2000-12-29,271.45
2000-12-31,271.45
2001-01-31,265.49
2001-02-28,261.86
2001-03-30,263.03
2001-03-31,263.03
2001-04-30,260.48
2001-05-31,272.35
2001-06-29,270.23
2001-06-30,270.23
2001-07-31,267.53
2001-08-31,272.39
2001-09-28,283.42
2001-09-30,283.42
2001-10-31,283.06
2001-11-30,276.16
2001-12-31,275.85
2002-01-31,281.51
2002-02-28,295.49
2002-03-29,294.05
2002-03-31,294.05
2002-04-30,302.68
2002-05-31,314.49
2002-06-28,321.18
2002-06-30,321.18
2002-07-31,313.29
2002-08-30,310.25
2002-08-31,310.25
2002-09-30,319.14
2002-10-31,316.56
2002-11-29,319.07
2002-11-30,319.07
2002-12-31,331.92
2003-01-31,356.86
2003-02-28,358.97
2003-03-31,340.55
2003-04-30,328.18
2003-05-30,355.68
2003-05-31,355.68
2003-06-30,356.35
2003-07-31,351.02
2003-08-29,359.77
2003-08-31,359.77
2003-09-30,378.95
2003-10-31,378.92
2003-11-28,389.91
2003-11-30,389.91
2003-12-31,406.95
2004-01-30,413.79
2004-01-31,413.79
2004-02-27,404.88
2004-02-29,404.88
2004-03-31,406.67
2004-04-30,403.26
2004-05-31,383.78
2004-06-30,392.37
2004-07-30,398.09
2004-07-31,398.09
2004-08-31,400.51
2004-09-30,405.27
2004-10-29,420.46
2004-10-31,420.46
2004-11-30,439.37
2004-12-31,442.08
2005-01-31,424.03
2005-02-28,423.35
2005-03-31,434.32
2005-04-29,429.23
2005-04-30,429.23
2005-05-31,421.87
2005-06-30,430.66
2005-07-29,424.48
2005-07-31,424.48
2005-08-31,437.93
2005-09-30,456.05
2005-10-31,469.9
2005-11-30,476.67
2005-12-30,510.1
2005-12-31,510.1
2006-01-31,549.86
2006-02-28,554.99
2006-03-31,557.09
2006-04-28,610.65
2006-04-30,610.65
2006-05-31,675.39
2006-06-30,596.15
2006-07-31,633.71
2006-08-31,632.59
2006-09-29,598.19
2006-09-30,598.19
2006-10-31,585.78
2006-11-30,627.83
2006-12-29,629.79
2006-12-31,629.79
2007-01-31,631.17
2007-02-28,664.74
2007-03-30,654.9
2007-03-31,654.9
2007-04-30,679.37
2007-05-31,666.86
2007-06-29,655.49
2007-06-30,655.49
2007-07-31,665.3
2007-08-31,665.41
2007-09-28,712.65
2007-09-30,712.65
2007-10-31,754.6
2007-11-30,806.25
2007-12-31,803.2
2008-01-31,889.6
2008-02-29,922.3
2008-03-31,968.43
2008-04-30,909.7
2008-05-30,888.66
2008-05-31,888.66
2008-06-30,889.49
2008-07-31,939.77
2008-08-29,839.03
2008-08-31,839.03
2008-09-30,829.93
2008-10-31,806.62
2008-11-28,760.86
2008-11-30,760.86
2008-12-31,816.09
2009-01-30,858.69
2009-01-31,858.69
2009-02-27,943.16
2009-02-28,943.16
2009-03-31,924.27
2009-04-30,890.2
2009-05-29,928.64
2009-05-31,928.64
2009-06-30,945.67
2009-07-31,934.23
2009-08-31,949.38
2009-09-30,996.59
2009-10-30,1043.16
2009-10-31,1043.16
2009-11-30,1127.04
2009-12-31,1134.72
2010-01-29,1117.96
2010-01-31,1117.96
2010-02-26,1095.41
2010-02-28,1095.41
2010-03-31,1113.34
2010-04-30,1148.69
2010-05-31,1205.43
2010-06-30,1232.92
2010-07-30,1192.97
2010-07-31,1192.97
2010-08-31,1215.81
2010-09-30,1270.98
2010-10-29,1342.02
2010-10-31,1342.02
2010-11-30,1369.89
2010-12-31,1390.55
2011-01-31,1356.4
2011-02-28,1372.73
2011-03-31,1424.01
2011-04-29,1473.81
2011-04-30,1473.81
2011-05-31,1510.44
2011-06-30,1528.66
2011-07-29,1572.81
2011-07-31,1572.81
2011-08-31,1755.81
2011-09-30,1771.85
2011-10-31,1665.21
2011-11-30,1738.98
2011-12-30,1652.31
2011-12-31,1652.31
